rank_primary_rank_replace,stock_id,pred_score_primary_rank_replace,rank_lgbm_rank_replace,pred_score_lgbm_rank_replace,stock_prefix,model_count,top5_vote_count,top20_vote_count,top5_borda,top20_borda,avg_rank_fill,min_rank_fill,ensemble_score,ensemble_rank_before_stage2,recent_return_5,recent_return_10,recent_return_20,volatility_20,max_drawdown_20,overheat_return,volatility_20_rank,overheat_rank,drawdown_rank,risk_score,selection_strategy,stage2_pool_member,stage2_selection_rank,gate_primary_source,gate_overheat_threshold,gate_primary_top5_overheat_mean,gate_use_defense,gate_defense_strategy,selected,weight,rank,pred_score
1,688008,1.1579455,13,0.0387804845736945,688,2,1,2,5,28,7.0,1,52793.0,1,0.19748341581552076,-0.10024130701372691,-0.23174356549348107,0.08551243126701383,0.4187850201019343,0.19748341581552076,1.0,0.9833333333333333,0.97,0.9866666666666666,ensemble_gate_overheat_top5,True,1.0,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,True,0.2,1,999999.052793
2,688183,1.1558064,10,0.0454695461864683,688,2,1,2,4,30,6.0,2,42994.0,3,0.007939619682415078,-0.07368705522025054,-0.17219449364031558,0.07072692451908347,0.26903323262839884,0.007939619682415078,0.99,0.16333333333333333,0.8566666666666667,0.6673333333333333,ensemble_gate_overheat_top5,True,2.0,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,True,0.2,2,999998.042994
3,000657,1.1413513,21,0.0311599981589835,000,2,1,1,3,18,12.0,3,31788.0,6,0.05264097073518914,-0.14950980392156865,-0.3811680807347687,0.05429278708106009,0.4264370467476126,0.05264097073518914,0.89,0.5433333333333333,0.9733333333333334,0.7895000000000001,ensemble_gate_overheat_top5,True,3.0,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,True,0.2,3,999997.031788
4,301236,1.1133131,63,0.0114216748855396,301,2,1,1,2,17,33.5,4,21666.5,8,-0.06993736951983298,-0.1343211076026234,-0.1504171632896305,0.039103402967348246,0.1755005889281509,-0.06993736951983298,0.73,0.01,0.74,0.4805,ensemble_gate_overheat_top5,True,4.0,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,True,0.2,4,999996.0216665
5,002938,1.0900756,85,0.008576280017359,002,2,1,1,1,16,45.0,5,11555.0,9,0.026405545164484456,-0.03125649013499476,-0.0763366336633663,0.04936656382512125,0.16862782311634084,0.026405545164484456,0.84,0.29,0.7366666666666667,0.6216666666666667,ensemble_gate_overheat_top5,True,5.0,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,True,0.2,5,999995.011555
127,600875,0.20827831,1,0.077783776678848,600,2,1,1,5,20,64.0,1,51936.0,2,0.05346675615003882,-0.013500833181431915,-0.08398938255369415,0.03302346938749951,0.1645952300974135,0.05346675615003882,0.62,0.5533333333333333,0.7266666666666667,0.6233333333333333,ensemble_gate_overheat_top5,True,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,6,-9998.948064
13,688521,0.9614077,2,0.070122490607993,688,2,1,2,4,27,7.5,2,42692.5,4,-0.0018222222222221696,-0.17290270310083233,-0.37958563535911605,0.051254342236596966,0.4023818505146305,-0.0018222222222221696,0.8666666666666667,0.10666666666666667,0.9666666666666667,0.6256666666666667,ensemble_gate_overheat_top5,True,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,7,-9998.9573075
17,301308,0.89742535,3,0.0662116803059658,301,2,1,2,3,22,10.0,3,32190.0,5,-0.006879332784403336,-0.28377135851658875,-0.4829207578481538,0.06967690006393716,0.4742682580278488,-0.006879332784403336,0.9866666666666667,0.09333333333333334,0.9933333333333333,0.6756666666666667,ensemble_gate_overheat_top5,True,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,8,-9998.96781
34,688082,0.7580319,4,0.057724904892042,688,2,1,1,2,17,19.0,4,21681.0,7,0.08691803859090097,-0.23069212649726867,-0.31465565353276037,0.06492109165968445,0.34708737864077666,0.08691803859090097,0.9666666666666667,0.79,0.93,0.8956666666666667,ensemble_gate_overheat_top5,True,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,9,-9998.978319
200,300413,-0.086773284,5,0.0573464498212522,300,2,1,1,1,16,102.5,5,11497.5,10,-0.021907216494845394,0.03054989816700604,0.04250730233477262,0.026712878598099104,0.06709265175718859,0.03054989816700604,0.47,0.33,0.44,0.4135,ensemble_gate_overheat_top5,True,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,10,-9998.9885025
14,000988,0.9528691,8,0.0520548296632501,000,2,0,2,0,20,11.0,8,1989.0,11,0.05573398828641607,-0.2754149377593361,-0.3686945715415465,0.05769805812159817,0.4265749417691349,0.05573398828641607,0.9266666666666666,0.5766666666666667,0.9766666666666667,0.8166666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,11,-9998.998011
6,600584,1.0672044,32,0.0244881879326936,600,2,0,1,0,15,19.0,6,1481.0,12,0.06961943109494739,-0.16860171630489662,-0.20242130750605325,0.06480211688085505,0.27803825956489125,0.06961943109494739,0.9633333333333334,0.69,0.8733333333333333,0.8451666666666666,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,12,-9998.998519
150,300661,0.10779951,6,0.0555126881440529,300,2,0,1,0,15,78.0,6,1422.0,13,0.008978675645342271,-0.14940650266643718,-0.25980538922155694,0.049535992832848534,0.31690827989963755,0.008978675645342271,0.8433333333333334,0.17,0.91,0.6243333333333334,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,13,-9998.998578
24,688396,0.8262982,7,0.0551120747471693,688,2,0,1,0,14,15.5,7,1384.5,14,0.020325886107844804,-0.2172680412371134,-0.3431383151292311,0.05710175477114838,0.3897488467452589,0.020325886107844804,0.9166666666666666,0.22666666666666666,0.9566666666666667,0.6851666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,14,-9998.9986155
7,600460,1.0546697,38,0.021741240783332,600,2,0,1,0,14,22.5,7,1377.5,15,0.08199464524765743,-0.22709004205846295,-0.38375899341151076,0.05119423406999283,0.4520271690789126,0.08199464524765743,0.8633333333333333,0.7666666666666667,0.9833333333333333,0.8594999999999999,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,15,-9998.9986225
8,300408,1.039934,169,0.0028243738725851,300,2,0,1,0,13,88.5,8,1211.5,16,0.2257745550428476,-0.00205724508050098,-0.3306737056812047,0.0767448483526896,0.4660330869412178,0.2257745550428476,0.9966666666666667,0.99,0.9866666666666667,0.9918333333333335,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,16,-9998.9987885
